1,3,100,3,3
2,5,200,4,4
3,10,300,5,5
4,19,400,7,7
5,32,500,8,8
6,49,600,10,10
7,72,700,13,13
8,101,800,15,15
9,137,900,18,18
10,180,1000,20,20
11,232,1100,23,23
12,291,1200,27,27
13,360,1300,30,30
14,439,1400,34,34
15,528,1500,38,38
16,628,1600,42,42
17,739,1700,46,46
18,862,1800,50,50
19,998,1900,55,55
20,1146,2000,60,60
21,1308,2100,65,65
22,1485,2200,70,70
23,1675,2300,75,75
24,1881,2400,81,81
25,2103,2500,87,87
26,2340,2600,92,92
27,2595,2700,99,99
28,2866,2800,105,105
29,3155,2900,111,111
30,3462,3000,118,118
31,3788,3100,125,125
32,4133,3200,132,132
33,4498,3300,139,139
34,4883,3400,146,146
35,5288,3500,154,154
36,5715,3600,161,161
37,6163,3700,169,169
38,6633,3800,177,177
39,7126,3900,185,185
40,7641,4000,193,193
41,8180,4100,202,202
42,8744,4200,211,211
43,9331,4300,219,219
44,9944,4400,228,228
45,10582,4500,238,238
46,11245,4600,247,247
47,11935,4700,256,256
48,12652,4800,266,266
49,13396,4900,276,276
50,14168,5000,286,286
51,14968,5100,296,296
52,15796,5200,306,306
53,16654,5300,317,317
54,17541,5400,327,327
55,18458,5500,338,338
56,19406,5600,349,349
57,20384,5700,360,360
58,21394,5800,371,371
59,22435,5900,383,383
60,23509,6000,394,394
61,24616,6100,406,406
62,25755,6200,418,418
63,26929,6300,430,430
64,28136,6400,442,442
65,29378,6500,454,454
66,30654,6600,467,467
67,31966,6700,480,480
68,33314,6800,492,492
69,34698,6900,505,505
70,36119,7000,518,518
71,37577,7100,532,532
72,39072,7200,545,545
73,40605,7300,559,559
74,42177,7400,572,572
75,43788,7500,586,586
76,45438,7600,600,600
77,47127,7700,615,615
78,48857,7800,629,629
79,50628,7900,643,643
80,52439,8000,658,658
81,54292,8100,673,673
82,56187,8200,688,688
83,58124,8300,703,703
84,60104,8400,718,718
85,62127,8500,733,733
86,64194,8600,749,749
87,66304,8700,765,765
88,68459,8800,780,780
89,70659,8900,796,796
90,72905,9000,813,813
91,75196,9100,829,829
92,77533,9200,845,845
93,79917,9300,862,862
94,82347,9400,879,879
95,84825,9500,895,895
96,87351,9600,912,912
97,89926,9700,930,930
98,92549,9800,947,947
99,95220,9900,964,964
100,-,9999,999,999
